date,tone_score
2023-01-02,-0.1033
2023-01-03,0.0321
2023-01-04,0.1722
2023-01-05,0.1174
2023-01-06,-0.1061
2023-01-07,-0.3191
2023-01-08,-1.2698
2023-01-09,0.2394
2023-01-10,0.4423
2023-01-11,0.4931
2023-01-12,0.3875
2023-01-13,-0.3352
2023-01-14,-0.4575
2023-01-15,-0.2621
2023-01-16,-0.2222
2023-01-17,0.5381
2023-01-18,-0.1084
2023-01-19,-0.1928
2023-01-20,-1.1115
2023-01-21,-0.1586
2023-01-22,0.5737
2023-01-23,0.6589
2023-01-24,-0.3162
2023-01-25,-0.0997
2023-01-26,-2.2445
2023-01-27,0.7154
2023-01-28,0.4673
2023-01-29,0.5786
2023-01-30,0.1216
2023-01-31,0.7037
2023-02-01,0.8166
2023-02-02,0.4286
2023-02-03,0.7777
2023-02-04,0.2238
2023-02-05,0.704
2023-02-06,-2.8274
2023-02-07,-1.8544
2023-02-08,0.5567
2023-02-09,-0.0318
2023-02-10,-0.3184
2023-02-11,1.5927
2023-02-12,0.5997
2023-02-13,0.3654
2023-02-14,-0.2051
2023-02-15,-0.1602
2023-02-16,0.0838
2023-02-17,0.1071
2023-02-18,-1.9961
2023-02-19,0.757
2023-02-20,0.7866
2023-02-21,0.2109
2023-02-22,1.079
2023-02-23,0.7518
2023-02-24,0.2782
2023-02-25,0.2039
2023-02-26,0.0479
2023-02-27,-0.1156
2023-02-28,-0.4586
2023-03-01,0.961
2023-03-02,1.479
2023-03-03,0.1361
2023-03-04,-1.572
2023-03-05,0.5112
2023-03-06,-0.4199
2023-03-07,-0.1636
2023-03-08,0.6304
2023-03-09,-0.0337
2023-03-10,0.1292
2023-03-11,-0.5227
2023-03-12,-0.7386
2023-03-13,0.8505
2023-03-14,0.1711
2023-03-15,0.5936
2023-03-16,-0.5309
2023-03-17,-1.5209
2023-03-18,-0.0847
2023-03-19,-1.3176
2023-03-20,-0.8997
2023-03-21,0.9142
2023-03-22,1.0355
2023-03-24,-0.5046
2023-03-25,0.3532
2023-03-26,0.3073
2023-03-27,0.5121
2023-03-28,0.1091
2023-03-29,1.2342
2023-03-30,1.7361
2023-03-31,0.1051
2023-04-01,0.3387
2023-04-02,0.9637
2023-04-03,-0.7075
2023-04-04,-0.1143
2023-04-05,-0.2483
2023-04-06,1.0692
2023-04-07,2.399
2023-04-08,1.3309
2023-04-09,1.3576
2023-04-10,1.6949
2023-04-11,-0.0815
2023-04-12,0.0594
2023-04-13,-0.2565
2023-04-14,0.4874
2023-04-15,1.5977
2023-04-16,0.1107
2023-04-17,-0.3939
2023-04-18,0.4351
2023-04-19,0.0482
2023-04-20,0.6406
2023-04-21,0.0357
2023-04-22,-0.1717
2023-04-23,0.8279
2023-04-24,-0.2126
2023-04-25,2.0206
2023-04-26,1.6965
2023-04-27,-0.1235
2023-04-28,0.9622
2023-04-29,1.3653
2023-04-30,-0.7984
2023-05-01,0.441
2023-05-02,0.7478
2023-05-03,0.4518
2023-05-04,1.404
2023-05-05,0.0408
2023-05-06,0.1776
2023-05-07,-0.1962
2023-05-08,0.1433
2023-05-09,1.1931
2023-05-10,1.189
2023-05-11,-0.5792
2023-05-12,1.253
2023-05-13,1.776
2023-05-14,0.7311
2023-05-15,1.0034
2023-05-16,0.6895
2023-05-17,0.3253
2023-05-18,0.6624
2023-05-19,2.8737
2023-05-20,1.5947
2023-05-21,0.1859
2023-05-22,0.8603
2023-05-23,0.3608
2023-05-24,1.0121
2023-05-25,0.5799
2023-05-26,-0.9394
2023-05-27,1.1904
2023-05-28,0.1327
2023-05-29,1.4244
2023-05-30,0.0994
2023-05-31,0.6173
2023-06-01,-0.5663
2023-06-02,0.9768
2023-06-03,2.6396
2023-06-04,1.4417
2023-06-05,-1.1202
2023-06-06,-1.5751
2023-06-07,-1.0912
2023-06-08,-0.6013
2023-06-09,-0.0094
2023-06-10,-1.7034
2023-06-11,-1.5282
2023-06-12,-1.3201
2023-06-13,-0.5372
2023-06-14,0.487
2023-06-15,0.6865
2023-06-16,0.0144
2023-06-17,0.9372
2023-06-18,1.6206
2023-06-19,0.3651
2023-06-20,0.5163
2023-06-21,0.1071
2023-06-22,1.0872
2023-06-23,0.6656
2023-06-24,1.6028
2023-06-25,-0.6205
2023-06-26,3.6111
2023-06-27,-0.6479
2023-06-28,1.4771
2023-06-29,0.3295
2023-06-30,1.0976
2023-07-01,0.203
2023-07-02,0.7932
2023-07-03,1.325
2023-07-04,0.8363
2023-07-05,1.7755
2023-07-06,0.7811
2023-07-07,-0.2174
2023-07-08,0.4352
2023-07-09,0.2969
2023-07-10,-0.1132
2023-07-11,-0.939
2023-07-12,-2.1282
2023-07-13,0.3478
2023-07-14,-0.0997
2023-07-15,-0.165
2023-07-16,-0.2567
2023-07-17,0.3863
2023-07-18,-0.1601
2023-07-19,1.6312
2023-07-20,1.6809
